TeamNumber,Name
25,"Pepe Reina"
5,"Miguel Britos"
7,"José Callejón"
9,"Gonzalo Higuaín"
11,"Christian Maggio"
17,"Marek Hamšík"
18,"Camilo Zúñiga"
24,"Lorenzo Insigne"
33,"Raúl Albiol"
85,"Valon Behrami"
88,"Gökhan Inler"
14,"Dries Mertens"
16,"Giandomenico Mesto"
19,"Goran Pandev"
21,"Federico Fernández"
91,"Duván Zapata"
27,"Pablo Armero"
20,"Blerim Dzemaili"
1,"Rafael Cabral"
