TeamNumber,Name
1,"Vincent Enyeama"
2,"Sébastien Corchia"
4,"Florent Balmont"
5,"Idrissa Gueye"
8,"Salomon Kalou"
14,"Simon Kjær"
18,"Franck Béria"
23,"Pape Souaré"
24,"Rio Mavuba"
25,"Marko Baša"
27,"Divock Origi"
17,"Marcos Lopes"
20,"Ryan Mendes"
26,"Nolan Roux"
22,"David Rozehnal"
6,"Jonathan Delaplace"
