TeamNumber,Name
1,"Artur"
4,"Luisão"
5,"Ljubomir Fejsa"
7,"Óscar Cardozo"
10,"Filip Djuričić"
16,"Guilherme Siqueira"
21,"Nemanja Matić"
24,"Ezequiel Garay"
34,"André Almeida"
35,"Enzo Pérez"
50,"Lazar Marković"
11,"Lima"
14,"Maxi Pereira"
15,"Ola John"
20,"Nicolás Gaitán"
8,"Miralem Sulejmani"
30,"André Gomes"
6,"Rúben Amorim"
19,"Rodrigo"
90,"Ivan Cavaleiro"
28,"Sílvio"
