TeamNumber,Name
1,"Joe Hart"
4,"Vincent Kompany"
5,"Pablo Zabaleta"
8,"Samir Nasri"
10,"Edin Džeko"
13,"Aleksandar Kolarov"
15,"Jesús Navas"
16,"Sergio Agüero"
25,"Fernandinho"
33,"Matija Nastasić"
42,"Yaya Touré"
7,"James Milner"
9,"Álvaro Negredo"
14,"Javi García"
2,"Micah Richards"
22,"Gaël Clichy"
21,"David Silva"
30,"Costel Pantilimon"
26,"Martín Demichelis"
6,"Joleon Lescott"
17,"Jack Rodwell"
