Id,TeamNumber,Name
1355,1,"Nicolai Larsen"
1356,2,"Patrick Kristensen"
1357,5,"Kenneth Emil Petersen"
1358,8,"Rasmus Würtz"
1359,11,"Nicklas Helenius"
1360,14,"Mathias Wichmann"
1361,18,"Anders K. Jacobsen"
1362,21,"Kasper Risgård"
1363,23,"Nicolaj Thomsen"
1364,26,"Rasmus Thelander"
1365,31,"Jakob Blaabjerg"
1366,16,"Mathias Thrane"
1367,20,"Henrik Dalsgaard"
1368,28,"Viktor Ahlmann"
1448,7,"Thomas Enevoldsen"
1449,25,"Frederik Børsting"
1450,6,"Donny Gorter"
