TeamNumber,Name
16,"Anthony Lopes"
3,"Henri Bedimo"
5,"Milan Biševac"
6,"Gueïda Fofana"
7,"Clément Grenier"
8,"Yoann Gourcuff"
10,"Alexandre Lacazette"
13,"Miguel Lopes"
17,"Steed Malbranque"
21,"Maxime Gonalons"
25,"Yassine Benzia"
20,"Gaël Danic"
29,"Fares Bahlouli"
4,"Bakary Koné"
23,"Samuel Umtiti"
12,"Jordan Ferri"
31,"Nabil Fekir"
