TeamNumber,Name
1,"Fraser Forster"
2,"Adam Matthews"
3,"Emilio Izaguirre"
6,"Kelvin Wilson"
8,"Scott Brown"
9,"Giorgos Samaras"
15,"Kris Commons"
21,"Charlie Mulgrew"
49,"James Forrest"
67,"Victor Wanyama"
88,"Gary Hooper"
20,"Paddy McCourt"
23,"Mikael Lustig"
32,"Anthony Watt"
7,"Nicolás Fedor"
25,"Thomas Rogne"
4,"Efe Ambrose"
16,"Joe Ledley"
33,"Beram Kayal"
7,"Miku"
32,"Tony Watt"
11,"Lassad Nouioui"
