Id,TeamNumber,Name
1906,1,"Matz Sels"
1907,9,"Laurent Depoitre"
1908,10,"Renato Neto"
1909,13,"Stefan Mitrović"
1910,14,"Sven Kums"
1911,19,"Brecht Dejaegere"
1912,21,"Nana Asare"
1913,23,"Lasse Nielsen"
1914,27,"Moses Simon"
1915,32,"Thomas Foket"
1916,77,"Danijel Milicevic"
807,4,"Rafinha"
1917,8,"Thomas Matton"
1918,26,"Benito Raman"
1940,15,"Kenneth Saief"
1941,7,"Kalifa Coulibaly"
1942,28,"Nicklas Pedersen"
2023,55,"Rami Gershon"
