Id,TeamNumber,Name
163,30,"Pär Hansson"
164,4,"Walid Atta"
165,6,"May Mahlangu"
166,8,"Ardian Gashi"
167,11,"Thomas Sørum"
168,16,"Joseph Baffo"
169,18,"Nikola Djurdic"
170,20,"Alejandro Bedoya"
171,21,"Christoffer Andersson"
172,23,"Erik Wahlstedt"
173,28,"Jere Uronen"
174,5,"Daniel Nordmark"
175,7,"Mattias Lindström"
176,25,"David Accam"
