TeamNumber,Name
33,"Jasmin Handanovič"
6,"Martin Milec"
7,"Aleš Mejač"
9,"Tavares"
10,"Agim Ibraimi"
20,"Goran Cvijanovič"
22,"Nejc Potokar"
26,"Aleksander Rajčevič"
28,"Mitja Viler"
39,"Damjan Bohar"
70,"Aleš Mertelj"
14,"Jean Philippe Mendy"
21,"Amir Derviševič"
17,"Nusmir Fajić"
44,"Arghus"
5,"Željko Filipovič"
