TeamNumber,Name
30,"Ivan Kelava"
3,"Luis Ibáñez"
4,"Josip Šimunić"
6,"Arijan Ademi"
10,"Sammir"
13,"Tonel"
16,"Milan Badelj"
19,"Josip Pivarić"
21,"Fatos Beqiraj"
24,"Domagoj Vida"
90,"Duje Čop"
5,"Adrián Calello"
7,"Jerko Leko"
99,"Ivan Krstanović"
55,"Ante Rukavina"
77,"Marcelo Brozović"
8,"Mateo Kovačić"
17,"Bryan Carrasco"
2,"Ante Puljić"
14,"Šime Vrsaljko"
28,"Alen Halilović"
