TeamNumber,Name
24,"Giedrius Arlauskis"
2,"Cornel Râpă"
4,"Łukasz Szukała"
7,"Alexandru Chipciu"
11,"Andrei Prepeliţă"
12,"Nicolae Stanciu"
14,"Iasmin Latovlevici"
18,"Lucian Sânmărtean"
21,"Nicandro Breeveld"
33,"Fernando Varela"
77,"Adrian Popa"
8,"Lucian Filip"
9,"Gabriel Iancu"
28,"Claudiu Keșerü"
10,"Cristian Tănase"
22,"Paul Pîrvulescu"
