TeamNumber,Name
1,"Petr Čech"
2,"Branislav Ivanović"
3,"Ashley Cole"
4,"David Luiz"
7,"Ramires"
8,"Frank Lampard"
9,"Fernando Torres"
11,"Oscar"
12,"John Obi Mikel"
17,"Eden Hazard"
26,"John Terry"
10,"Juan Mata"
34,"Ryan Bertrand"
13,"Victor Moses"
24,"Gary Cahill"
23,"Daniel Sturridge"
28,"César Azpilicueta"
6,"Oriol Romeu"
19,"Paulo Ferreira"
