ID	Name	2013	2014	2015	2016
744	Rúben Amorim	SC Braga	SL Benfica	null	null	
743	Tony Watt	Celtic FC	null	R. Standard de Liège	null	
742	Miku	Celtic FC	null	null	null	
741	André Gomes	SL Benfica	SL Benfica	null	Valencia CF	
740	Artem Kontsevoi	FC BATE Borisov	null	null	null	
739	Dmitri Baga	FC BATE Borisov	null	FC BATE Borisov	FC BATE Borisov	
738	Anatoliy Tymoshchuk	FC Bayern München	FC Zenit	FC Zenit	null	
737	Viktor Fischer	AFC Ajax	AFC Ajax	null	null	
736	Robinho	AC Milan	AC Milan	null	null	
735	Danny	FC Zenit	FC Zenit	FC Zenit	FC Zenit	
734	Ljubomir Fejsa	Olympiacos FC	SL Benfica	null	SL Benfica	
733	Jack Wilshere	Arsenal FC	Arsenal FC	Arsenal FC	null	
732	Bacary Sagna	Arsenal FC	Arsenal FC	Manchester City FC	Manchester City FC	
731	André Castro	FC Porto	null	null	null	
730	Abdoulaye Ba	FC Porto	null	null	null	
729	Jackson Martínez	FC Porto	FC Porto	FC Porto	Club Atlético de Madrid	
728	Lukman Haruna	FC Dynamo Kyiv	null	null	null	
727	Marco Ruben	FC Dynamo Kyiv	null	null	null	
726	Artem Milevskiy	FC Dynamo Kyiv	null	null	null	
725	Adrien Rabiot	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	
724	James Milner	Manchester City FC	Manchester City FC	Manchester City FC	null	
723	Joleon Lescott	Manchester City FC	Manchester City FC	null	null	
722	Micah Richards	Manchester City FC	Manchester City FC	null	null	
721	Eyong Enoh	AFC Ajax	null	null	null	
720	Pato	AC Milan	null	null	null	
719	Massimo Ambrosini	AC Milan	null	null	null	
718	Francesco Acerbi	AC Milan	null	null	null	
717	Marco Amelia	AC Milan	AC Milan	null	null	
716	Oguchi Onyewu	Málaga CF	null	null	null	
715	Guillermo Molins	RSC Anderlecht	null	null	null	
714	Sergei Semak	FC Zenit	null	null	null	
713	Charalambos Lykogiannis	Olympiacos FC	null	null	null	
712	Roy Carroll	Olympiacos FC	null	null	null	
711	Gaëtan Charbonnier	Montpellier Hérault SC	null	null	null	
710	John Utaka	Montpellier Hérault SC	null	null	null	
709	Laurent Pionnier	Montpellier Hérault SC	null	null	null	
708	Ciprian Marica	FC Schalke 04	null	null	null	
707	Serge Gnabry	Arsenal FC	Arsenal FC	null	null	
706	Andrey Arshavin	Arsenal FC	FC Zenit	FC Zenit	null	
705	André Santos	Arsenal FC	null	null	null	
704	Guillaume Hoarau	Paris Saint-Germain	null	null	null	
703	Mohamed Sissoko	Paris Saint-Germain	null	null	null	
702	Mathieu Bodmer	Paris Saint-Germain	null	null	null	
701	Alen Halilović	GNK Dinamo Zagreb	null	null	null	
700	Šime Vrsaljko	GNK Dinamo Zagreb	null	null	null	
699	Ante Puljić	GNK Dinamo Zagreb	null	null	null	
698	Felice Piccolo	CFR 1907 Cluj	null	null	null	
697	Sabri Sarıoğlu	Galatasaray A.Ş.	null	null	null	
696	Zé Luis	SC Braga	null	null	null	
695	Elderson	SC Braga	null	AS Monaco	AS Monaco	
694	Ryan Giggs	Manchester United FC	Manchester United FC	null	null	
693	Alexander Büttner	Manchester United FC	Manchester United FC	null	null	
692	Beram Kayal	Celtic FC	Celtic FC	Celtic FC	null	
691	Christian Tello	FC Barcelona	null	null	null	
690	Marc Bartra	FC Barcelona	FC Barcelona	FC Barcelona	FC Barcelona	
689	Ola John	SL Benfica	SL Benfica	SL Benfica	null	
688	Welliton	FC Spartak Moskva	null	null	null	
687	Jano Ananidze	FC Spartak Moskva	null	null	null	
686	Artem Rebrov	FC Spartak Moskva	null	null	null	
685	Éver Banega	Valencia CF	null	null	Sevilla FC	
684	David Albelda	Valencia CF	null	null	null	
683	David Alaba	FC Bayern München	FC Bayern München	FC Bayern München	FC Bayern München	
682	David Rozehnal	LOSC Lille	null	LOSC Lille	null	
681	Daniel Sturridge	Chelsea FC	null	null	null	
680	Emanuele Giaccherini	Juventus	null	null	null	
679	Nicklas Bendtner	Juventus	Arsenal FC	null	VfL Wolfsburg	
678	Paolo De Ceglie	Juventus	Juventus	null	null	
677	Lúcio	Juventus	null	null	null	
676	José Callejón	Real Madrid CF	SSC Napoli	SSC Napoli	null	
675	Kaká	Real Madrid CF	AC Milan	null	null	
674	Sergio Ramos	Real Madrid CF	Real Madrid CF	Real Madrid CF	Real Madrid CF	
673	Fabian Sporkslede	AFC Ajax	null	null	null	
672	Jody Lukoki	AFC Ajax	null	null	null	
671	Daniel Hoesen	AFC Ajax	null	null	null	
670	Felipe Santana	Borussia Dortmund	FC Schalke 04	FC Schalke 04	null	
669	Kevin Grosskreutz	Borussia Dortmund	Borussia Dortmund	Borussia Dortmund	null	
668	Sven Bender	Borussia Dortmund	Borussia Dortmund	Borussia Dortmund	null	
667	Mario Balotelli	Manchester City FC	AC Milan	Liverpool FC	null	
666	Jack Rodwell	Manchester City FC	Manchester City FC	null	null	
665	Sergio Agüero	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
664	Seba	Málaga CF	null	null	null	
663	Sergio Sánchez	Málaga CF	null	null	null	
662	Bojan Krkić	AC Milan	AFC Ajax	null	null	
661	Ignazio Abate	AC Milan	AC Milan	null	null	
660	Riccardo Montolivo	AC Milan	AC Milan	null	null	
659	Cristián Zapata	AC Milan	AC Milan	null	null	
658	Maksim Kanunnikov	FC Zenit	null	null	null	
657	Aleksandr Bukharov	FC Zenit	FC Zenit	null	null	
656	Axel Witsel	FC Zenit	FC Zenit	FC Zenit	FC Zenit	
655	Tomáš Hubočan	FC Zenit	FC Zenit	null	null	
